!0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
2-Projectile weapons
3-Bows
4-* Eagletech "Stryker"      (MCB) 2|2|2|4M|3.25|6/48hrs|440|1|6-D|cb1.5|
4-* Light Crossbow           (LCB) 2|2|3|6L|2|4/36hrs|300|1|5-D|sr3.276|
4-* Medium Crossbow          (MCB) 2|2|4|6M|3|5/36hrs|500|1|6-D|sr3.276|
4-* Nomad Hand Crosbow       (LCB) 2|-|1|3M|.5|10/7 days|100|1|7-D|cb1.5|
4-* Heavy Crossbow           (HCB) 2|-|5|8S|4|6/36hrs|750|1|6-D|sr3.276|
4-* Pistol Crossbow          (LCB) 2|5|2|4L|1|3/36hrs|200|1|8P-D|cc.13|
4-* Repeater Crossbow        (MCB) 2|2|4|6M|4|8/48hrs|800|2|5P-D|cc.13|
3-Accessories
4-* Bow Accessory Mount            2|-1|-|-|.1|2/24hrs|100|.9|Legal|cc.13|
3-Slings
4-* Sling Launcher            (SL) 2|-|5|Per object|7|1/14hrs|40|1|5-D|cc.13|
4-* Sling Shot (for 1 STR)    (SH) 2|8|1+|3L Stun|.5|2/12hrs|5|1|8-D|cc.13|
4-* Sling Shot (for 2 STR)    (SH) 2|8|1+|4L Stun|.5|2/12hrs|10|1|8-D|cc.13|
4-* Sling Shot (for 3 STR)    (SH) 2|8|1+|5L Stun|.5|2/12hrs|15|1|8-D|cc.13|
4-* Sling Shot (for 4 STR)    (SH) 2|8|1+|6L Stun|.5|2/12hrs|20|1|8-D|cc.13|
4-* Sling Shot (for 5 STR)    (SH) 2|8|1+|7L Stun|.5|2/12hrs|25|1|8-D|cc.13|
4-* Sling Shot (for 6 STR)    (SH) 2|8|1+|8L Stun|.5|2/12hrs|30|1|8-D|cc.13|
4-* Sling Shot (for 7 STR)    (SH) 2|8|1+|9L Stun|.5|2/12hrs|35|1|8-D|cc.13|
4-* Sling Shot (for 8 STR)    (SH) 2|8|1+|10L Stun|.5|2/12hrs|40|1|8-D|cc.13|
4-* Sling Shot (for 9 STR)    (SH) 2|8|1+|11L Stun|.5|2/12hrs|45|1|8-D|cc.13|
4-* Sling Shot (for 10 STR)   (SH) 2|8|1+|12L Stun|.5|2/12hrs|50|1|8-D|cc.13|
4-* Sling Shot (for 11 STR)   (SH) 2|8|1+|13L Stun|.5|2/12hrs|55|1|8-D|cc.13|
4-* Sling Shot (for 12 STR)   (SH) 2|8|1+|14L Stun|.5|2/12hrs|60|1|8-D|cc.13|
2-Throwing weapons
3-Non aerodynamic
4-* Caltrop                 (Ctrp) 2|8|-|(Body)L|.5|3/36hrs|5|1|8-A|cc.14|
4-* 10 Caltrops             (Ctrp) 2|8|-|(Body)L|5|3/36hrs|50|1|8-A|cc.14|
4-* Net                      (Net) 2|2|-|None|4|5/48hrs|500|2|Legal|cc.14|
4-* Throwing Knife            (TK) 2|9|-|(STR)L|.25|2/24hrs|20|1|8-D|sr3.276|
4-* 10 Throwing Knifes        (TK) 2|9|-|(STR)L|.25|2/24hrs|200|1|8-D|sr3.276|
3-Aerodynamic
4-* Cue Ball                  (CB) 2|8|-|(STR)L|.5|Always|5|1|Legal|sr3.XXX|
4-* Shuriken                  (SH) 2|8|-|(STR)L|.25|2/24hrs|30|2|6-D|sr3.276|
4-* 10 Shurikens              (SH) 2|8|-|(STR)L|.25|2/24hrs|300|2|6-D|sr3.276|
4-* Dr. Odd's Shock Spheres        2|10|-|Special|2|6/48hrs|75|1.25|6-D|tss.12|
